,geometry,crimes_2021,crimes_2022,crimes_2023,crimes_2020,gas_station,bar,liquor_store
664,"POLYGON ((1439372 7460209, 1439853.5316597552 7460209, 1439754.5166660424 7460131.082788623, 1439733.512096915 7460114.472792635, 1439719.2024793292 7460124.978335918, 1439704.3586285557 7460113.338090649, 1439569.9697697707 7460007.93441488, 1439514.6154331958 7459964.531262669, 1439372 7459852.669879943, 1439372 7460209))",0,0,0,0,10727.81207873935,12668.883831080137,12979.848982489031
544,"POLYGON ((1438372 7459709, 1438372 7460209, 1438872 7460209, 1438872 7459709, 1438372 7459709))",0,0,0,0,11086.050235295534,13170.986683400768,13448.894359825425
604,"POLYGON ((1438872 7459709, 1438872 7460209, 1439372 7460209, 1439372 7459852.669879943, 1439188.8309592984 7459709, 1438872 7459709))",0,0,0,0,10943.675152804253,12950.011827646025,13246.563439363208
605,"POLYGON ((1438872 7460209, 1438872 7460709, 1439372 7460709, 1439372 7460209, 1438872 7460209))",0,0,0,0,10468.17662277829,12502.566000850862,12791.043832711943
545,"POLYGON ((1438372 7460209, 1438372 7460709, 1438872 7460709, 1438872 7460209, 1438372 7460209))",0,0,0,0,10608.388650579473,12725.346537158646,12993.88720296607
665,"POLYGON ((1439372 7460209, 1439372 7460709, 1439872 7460709, 1439872 7460223.533168328, 1439853.5316597552 7460209, 1439372 7460209))",0,0,0,0,10350.142434212406,12296.022575751444,12604.704319122418
666,"POLYGON ((1439372 7460709, 1439372 7461209, 1439872 7461209, 1439872 7460709, 1439372 7460709))",0,0,0,0,9862.29860589648,11838.641095875128,12138.73326006352
606,"POLYGON ((1438872 7460709, 1438872 7461209, 1439372 7461209, 1439372 7460709, 1438872 7460709))",0,0,0,0,9985.99628219083,12052.954446196463,12332.037442045801
906,"POLYGON ((1441372 7461209, 1441872 7461209, 1441872 7460709, 1441544.672871699 7460709, 1441543.8500783327 7460709.206460009, 1441531.7679600788 7460712.240813046, 1441488.3605091858 7460723.144166658, 1441372 7460752.351852242, 1441372 7461209))",0,0,0,0,9611.147972206023,11161.461727745016,11546.963077997789
967,"POLYGON ((1441872 7461209, 1441872 7461709, 1442372 7461709, 1442372 7461209, 1441872 7461209))",0,0,0,0,9117.367709696018,10559.902359760737,10962.01070677262
1027,"POLYGON ((1442372 7461209, 1442372 7461709, 1442872 7461709, 1442872 7461209, 1442372 7461209))",0,0,0,0,9147.196619606806,10459.027199626966,10882.801864517718
907,"POLYGON ((1441372 7461209, 1441372 7461709, 1441872 7461709, 1441872 7461209, 1441372 7461209))",1,3,1,2,9114.909868444616,10683.249773960357,11063.271715385317
908,"POLYGON ((1441372 7461709, 1441372 7462209, 1441872 7462209, 1441872 7461709, 1441372 7461709))",1,0,0,1,8615.04392630219,10202.518317027381,10576.59331685331
968,"POLYGON ((1441872 7461709, 1441872 7462209, 1442372 7462209, 1442372 7461709, 1441872 7461709))",0,0,0,0,8617.644335667073,10073.286063849055,10470.626718447129
